Position,Ticker,Final_Rank_Sortino,Rank_Sortino_3M,Sortino_3M,Rank_Sortino_6M,Sortino_6M,Rank_Sortino_9M,Sortino_9M,Rank_Sortino_12M,Sortino_12M
1,DIVISLAB.NS,12.0,2.0,3.6,1.0,4.38,4.0,3.46,5.0,3.49
2,BHARTIARTL.NS,14.0,3.0,3.17,5.0,2.79,3.0,3.47,3.0,3.97
3,BAJAJ-AUTO.NS,16.0,4.0,2.56,9.0,2.32,2.0,3.86,1.0,6.03
4,SUNPHARMA.NS,18.0,1.0,3.82,10.0,2.22,5.0,3.23,2.0,4.07
5,M&M.NS,18.0,10.0,1.28,3.0,3.15,1.0,3.94,4.0,3.78
6,SHRIRAMFIN.NS,29.0,6.0,2.12,11.0,1.81,6.0,2.25,6.0,2.97
7,HCLTECH.NS,37.0,5.0,2.23,13.0,1.64,11.0,1.77,8.0,2.67
8,TECHM.NS,43.0,14.0,1.09,6.0,2.69,8.0,2.04,15.0,1.94
9,BRITANNIA.NS,44.0,18.0,0.48,2.0,3.17,14.0,1.26,10.0,2.26
10,INFY.NS,45.0,12.0,1.19,7.0,2.42,10.0,1.81,16.0,1.85
11,BPCL.NS,51.0,15.0,0.96,20.0,0.71,9.0,1.83,7.0,2.75
12,GRASIM.NS,52.0,24.0,-0.46,12.0,1.8,7.0,2.09,9.0,2.48
13,NTPC.NS,57.0,9.0,1.43,22.0,0.69,15.0,1.14,11.0,2.18
14,APOLLOHOSP.NS,62.0,11.0,1.26,23.0,0.66,13.0,1.33,15.0,1.94
15,LTIM.NS,64.0,8.0,1.46,8.0,2.36,25.0,0.34,23.0,0.86
16,HINDALCO.NS,67.0,16.0,0.54,15.0,1.34,19.0,0.98,17.0,1.68
17,ICICIBANK.NS,70.0,22.0,-0.17,18.0,0.8,12.0,1.42,18.0,1.58
18,ULTRACEMCO.NS,73.0,26.0,-0.56,14.0,1.36,21.0,0.84,12.0,2.17
19,HINDUNILVR.NS,74.0,20.0,0.39,4.0,2.85,25.0,0.34,25.0,0.38
20,DRREDDY.NS,74.0,21.0,-0.06,17.0,0.89,16.0,1.07,20.0,1.29
21,HDFCLIFE.NS,75.0,13.0,1.14,16.0,1.28,22.0,0.66,24.0,0.75
22,BAJAJFINSV.NS,76.0,7.0,1.88,24.0,0.56,23.0,0.44,22.0,0.93
23,COALINDIA.NS,80.0,25.0,-0.5,25.0,0.39,17.0,1.05,13.0,2.0
24,WIPRO.NS,84.0,23.0,-0.37,22.0,0.69,20.0,0.86,19.0,1.32
25,HDFCBANK.NS,89.0,17.0,0.51,19.0,0.74,27.0,-0.04,26.0,0.33
26,SBIN.NS,92.0,27.0,-1.12,26.0,0.2,18.0,1.02,21.0,1.16
27,KOTAKBANK.NS,99.0,19.0,0.45,27.0,0.11,26.0,0.01,27.0,0.21
